,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
267,Justice Hill,BAL,RB,25,2,0,0,0,0,0,0,5,20,4.00,0,2,2,7,3.50,0,0,0,0,,,3,4.7,4.7,3.7,,71,
268,Sony Michel,LAC,RB,27,2,0,0,0,0,0,0,11,25,2.27,0,1,1,6,6.00,0,0,0,0,,,3,4.1,4.1,3.6,,68,
269,Noah Fant,SEA,TE,25,2,2,0,0,0,0,0,0,0,,0,6,5,27,5.40,0,0,0,0,,,3,7.7,7.7,5.2,,44,
270,Tyrion Davis-Price,SFO,RB,22,1,0,0,0,0,0,0,14,33,2.36,0,0,0,0,,0,0,0,0,,,3,3.3,3.3,3.3,,67,
271,Giovanni Ricci,CAR,RB,26,2,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1,,79,
272,Ryan Griffin,CHI,TE,32,2,0,0,0,0,0,0,0,0,,0,3,1,18,18.00,0,0,0,0,,,2,2.8,2.8,2.3,,54,
273,Byron Pringle,CHI,WR,29,2,0,0,0,0,0,0,0,0,,0,2,1,22,22.00,0,0,0,0,,,2,3.2,3.2,2.7,,113,
274,Dezmon Patmon,IND,WR,24,1,0,0,0,0,0,0,0,0,,0,6,2,24,12.00,0,0,0,0,,,2,4.4,4.4,3.4,,110,
275,Trace McSorley,ARI,QB,27,1,0,2,4,12,0,0,3,20,6.67,0,0,0,0,,0,0,0,0,,,2,2.5,2.5,2.5,,36,
276,Dennis Houston,DAL,WR,23,2,0,0,0,0,0,0,0,0,,0,6,2,16,8.00,0,0,0,0,,,2,3.6,3.6,2.6,,123,
278,Kendall Hinton,DEN,WR,25,1,1,0,0,0,0,0,0,0,,0,1,1,20,20.00,0,0,0,0,,,2,3.0,3.0,2.5,,118,
279,Montrell Washington,DEN,WR,23,2,0,0,0,0,0,0,1,19,19.00,0,1,0,0,,0,0,0,0,,,2,1.9,1.9,1.9,,119,
280,Juwann Winfree,GNB,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,17,17.00,0,0,0,0,,,2,2.7,2.7,2.2,,120,
281,Jeff Driskel,HOU,TE,29,2,0,0,0,0,0,0,2,15,7.50,0,0,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,56,
282,Noah Gray,KAN,TE,23,2,0,0,0,0,0,0,0,0,,0,5,3,22,7.33,0,0,0,0,,,2,5.2,5.2,3.7,,49,
